SetName,Size,N,Distribution,CSQ,COOK,IQR,SD,BONF
Dataset 1,L,5324,Normal,124,219,9,36,0
Dataset 2,S ,50,Right,1,2,0,0,0
Dataset 3,M,312,Right ,14,16,12,12,0
Dataset 4,S,35,Right ,0,1,0,0,0
Dataset 5,L,20797,Right ,993,1105,2182,746,138
Dataset 6,S,24,Left,1,1,1,1,1
Dataset 7,L,6572,Bimodal,0,45,0,0,0
Dataset 8,M,219,Left,4,7,0,1,0
Dataset 9,M,307,Right ,12,16,9,6,4
Dataset 10,S,30,Normal,1,2,0,1,0
Dataset 11,M,307,Normal,1,2,2,0,0
Dataset 12,S,56,Right ,0,2,0,0,0
Dataset 13,S,20,Right ,1,1,2,1,0
Dataset 14,M,332,Normal,10,13,11,6,0
Dataset 15,M,82,Normal,7,5,10,4,0
Dataset 16,S,16,Bimodal,0,0,0,0,0
Dataset 17,M,360,Right ,0,1,0,0,0
Dataset 18,S,38,Normal,2,1,1,1,0
Dataset 19,M,196,Normal,3,6,0,2,0
Dataset 20,M,84,Right ,5,6,6,1,0
Dataset 21,L,838,Bimodal,2,8,0,0,0
Dataset 22,S,66,Random,4,4,4,1,0
Dataset 23,L,3402,Left,260,394,144,27,0
Dataset 24,S,37,Left,1,1,1,0,0
Dataset 25,S,16,Normal,0,0,0,0,0
Dataset 26,M,123,Left,3,3,0,1,0
Dataset 27,M,223,Right ,7,10,3,5,1
Dataset 28,S,36,Uniform,1,3,0,1,1
Dataset 29,S,28,Right ,0,0,0,0,0
Dataset 30,L,587,Uniform,0,0,0,0,0
SN Set,S,35,Normal,2,2,2,2,2
MN Set,M,300,Normal,2,2,2,2,2
LN Set,L,1000,Normal,2,2,11,2,2
SR Set,S,35,Right ,2,2,2,2,2
MR Set,M,300,Right ,2,2,5,2,2
LR Set,L,1000,Right ,2,2,18,2,2
SL Set,S,35,Left,2,2,2,2,2
ML Set,M,300,Left,2,2,9,2,2
LL Set,L,1000,Left,2,2,23,2,2
,,,,,,,,
, ,,,,,,,
