start,length
1/21/77,245
1/23/77,908
1/25/77,920
1/23/77,922
1/23/77,923
1/26/77,932
3/30/77,870
8/6/77,747
1/30/77,966
1/23/77,1011
1/23/77,1191
7/18/79,329
10/1/79,457
5/8/80,255
8/16/79,522
1/9/80,376
6/11/80,223
3/9/77,1413
3/7/77,1415
9/24/77,1214
4/1/77,1390
1/23/77,1458
1/21/77,1460
12/6/79,411
8/24/79,515
8/3/79,536
9/24/79,484
1/27/77,1454
1/23/77,1458
8/6/79,533
8/15/79,524
9/23/79,485
1/20/77,1461
3/30/81,310
1/22/81,529
1/23/81,651
1/23/81,739
1/22/81,742
5/20/81,658
1/23/81,1019
1/23/81,1438
5/18/83,597
1/22/81,1472
1/20/81,1475
11/5/82,825
11/18/83,447
1/23/81,1494
2/4/81,1500
2/4/81,1517
1/23/81,1557
1/21/81,1653
3/9/83,1010
1/23/81,1848
3/29/82,1463
1/28/81,2192
2/4/85,753
1/20/81,2377
2/7/83,1696
4/29/85,915
1/21/81,2497
3/2/87,487
2/25/85,1264
2/3/85,1291
2/6/85,1322
10/8/85,1103
7/1/88,203
2/8/85,1442
11/8/88,73
3/7/86,1050
11/23/87,424
2/7/85,1443
12/13/85,1134
1/23/81,2919
12/14/87,403
7/16/82,2380
2/8/85,1442
12/3/87,414
7/1/85,1299
1/20/81,2922
10/19/87,469
5/22/85,1393
3/23/87,759
8/12/88,1098 combined
5/26/87,1558 combined
9/20/88,816 combined
9/16/88,1584 combined
1/25/89,667
Reagan admin,816 combined
2/16/89,743
4/20/89,706
Reagan admin,1098 combined
Reagan admin,1558 combined
2/6/89,1040
1/20/89,1059
1/31/89,1079
3/20/89,1144
12/16/91,251
1/25/89,1306
3/15/89,1291
11/26/91,416
Reagan admin,1584 combined
2/13/89,1436
12/8/92,42
8/23/92,150
11/6/91,441
2/6/89,1444
1/25/89,1456
3/27/91,665
3/12/91,680
2/27/92,328
3/21/89,1401
3/18/91,674
3/1/89,1421
3/1/89,1421
2/7/91,713
2/3/89,1447
3/11/92,315
2/6/89,1444
1/20/89,1461
5/12/92,260
1/21/93,378
1/20/93,543
1/21/93,542
5/12/93,512
1/22/93,699
1/22/93,708
2/5/93,704
1/22/93,1167
1/22/93,1176
10/17/94,557
5/10/95,585
1/22/93,1449
1/20/93,1458
1/22/93,1458
7/17/94,918
1/22/93,1459
4/12/96,284
1/27/93,1455
2/3/94,1085
10/8/94,857
1/21/93,1485
1/23/93,1622
9/13/96,615
3/12/97,475
2/18/97,546
1/20/97,638
1/10/95,1634
1/30/97,1266
5/5/98,812
1/22/93,2902
1/22/93,2919
5/21/98,974
3/30/95,2122
7/21/00,182
1/23/97,1457
9/7/99,500
3/12/93,2871
10/20/98,823
3/7/97,1415
1/24/97,1457
1/21/93,2921
8/18/98,886
1/22/93,2920
1/29/97,1452
5/1/97,1360
7/2/99,568
2/14/97,1436
3/18/97,1404
1/20/93,2922
7/11/97,2557 combined
1/30/01,700
1/23/01,864
1/31/01,877
1/24/01,1052
9/19/01,1008
Clinton admin,2557 combined
1/20/01,1461
1/24/01,1457
7/23/04,181
2011/6/3,446
1/20/01,1466
2002/2/1,1454
1/23/01,1464
1/20/01,1472
1/24/03,739
2002/2/1,1462
1/20/01,1475
2002/7/1,1476
1/31/01,1885
1/20/01,1910
6/26/03,1023
9/24/04,588
5/17/05,374
2002/3/3,1242
7/25/01,1803
1/25/01,1989
1/20/01,2158
2008/2/5,516
4/21/05,663
5/26/06,434
2002/3/5,956
1/21/05,972
2002/1/5,972
3/31/04,1479
2007/10/6,696
2009/4/7,503
2002/7/5,1442
5/29/06,966
2011/9/7,438
4/14/06,1012
2005/2/5,1359
1/28/08,358
1/24/05,1457
2002/1/5,1449
1/26/05,1455
2006/5/8,229
1/29/01,2913
1/26/05,1455
2007/10/6,925
10/17/06,826
12/20/07,397
2006/8/6,957
1/20/01,2922
2/15/05,1436
4/30/07,633
2/13/07,714
5/30/06,989
12/18/06,1655 combined
1/29/09,484
1/20/09,556
1/20/09,619
2/13/09,867
Bush admin,1655 combined
3/26/09,858
11/18/10,434
1/13/11,379
10/21/11,244
2009/6/11,430
2/24/09,1428
1/26/09,1460
1/30/12,361
1/21/09,1472
1/26/09,1480
2007/1/11,606
3/20/09,1456
1/20/09,1543
1/21/09,1552
1/26/09,1616
1/23/09,1621
2004/6/9,1609
1/21/09,1689
1/21/09,1955
4/28/09,1865
4/26/13,408
1/26/09,2009
2/27/13,720
2002/3/9,2271
1/20/09,2536
1/20/09,2915
2/17/15,702
1/20/09,2922
2008/9/10,2356
1/25/13,1456
2002/1/13,1449
2/28/13,1422
2003/8/13,1414
2004/12/13,1379
5/21/13,1340
6/21/13,1309
6/26/13,1304
2007/2/13,1298
7/19/13,1281
7/23/13,1277
12/23/13,1124
2004/7/14,1019
2006/9/14,956
7/28/14,907
7/28/14,907
7/30/14,905
4/27/15,634
3/14/16,312
2008/5/13,1265
1/20/17,189
1/20/17,189
2002/10/17,231
2/14/17,407
2002/1/17,423
1/23/17,458
2/17/17,504
2002/9/17,636
1/20/17,710
1/27/17,703
7/31/17,518
2003/1/17,672
1/20/17,
1/31/17,
2002/7/17,
2/13/17,
2/14/17,
2/16/17,
2/28/17,
2003/2/17,
2003/2/17,
3/16/17,
4/25/17,
4/28/17,
5/15/17,
2012/6/17,
1/29/18,
4/26/18,
5/21/18,
7/30/18,
