,Beats.Per.Minute,Popularity
1,117,79
2,105,92
3,190,85
4,93,86
5,150,94
6,102,84
7,180,92
8,111,90
9,136,87
10,135,95
11,176,93
12,96,86
13,110,88
14,176,87
15,101,92
16,93,82
17,176,90
18,90,91
19,130,88
20,158,91
21,124,91
22,154,91
23,92,83
24,92,91
25,135,89
26,124,70
27,98,83
28,96,89
29,94,91
30,93,89
31,85,84
32,140,89
33,96,89
34,98,89
35,100,89
36,114,89
37,176,91
38,152,87
39,138,80
40,56,
41,104,88
42,85,90
43,96,87
44,136,84
45,98,88
46,88,88
47,75,
48,100,88
49,104,88
50,95,82
